customer_id,age,income,education,credit_score,account_age_days,is_pep,high_risk_location,registration_date,customer_segment,risk_score
CUST_00000000,47,39342,bachelor,652,1622,False,False,2021-02-22 19:39:04.042996,basic,0.2
CUST_00000001,37,20000,high_school,378,794,False,False,2023-05-31 19:39:04.043006,basic,0.7
CUST_00000002,49,38559,high_school,555,2383,False,False,2019-01-23 19:39:04.043007,basic,0.4
CUST_00000003,62,20000,high_school,629,1673,False,False,2021-01-02 19:39:04.043008,basic,0.5
CUST_00000004,36,43733,bachelor,766,171,False,False,2025-02-12 19:39:04.043009,basic,0.0
CUST_00000005,36,20000,high_school,402,160,False,False,2025-02-23 19:39:04.043010,basic,0.7
CUST_00000006,63,25631,bachelor,586,26,False,False,2025-07-07 19:39:04.043011,basic,0.7
CUST_00000007,51,32248,bachelor,808,504,False,True,2024-03-16 19:39:04.043012,basic,0.0
CUST_00000008,32,51912,high_school,353,61,False,False,2025-06-02 19:39:04.043013,basic,0.4
CUST_00000009,48,70532,bachelor,578,654,False,False,2023-10-18 19:39:04.043014,basic,0.4
CUST_00000010,33,37903,bachelor,406,302,False,False,2024-10-04 19:39:04.043014,basic,0.4
CUST_00000011,33,43201,high_school,742,755,False,False,2023-07-09 19:39:04.043015,basic,0.0
CUST_00000012,43,77931,bachelor,735,188,False,False,2025-01-26 19:39:04.043016,standard,0.0
CUST_00000013,18,46140,bachelor,377,872,False,False,2023-03-14 19:39:04.043017,basic,0.6000000000000001
CUST_00000014,18,25023,bachelor,599,3716,False,False,2015-05-31 19:39:04.043017,basic,0.9
CUST_00000015,31,27037,high_school,574,1110,False,False,2022-07-19 19:39:04.043018,basic,0.7
CUST_00000016,24,47611,bachelor,346,909,False,False,2023-02-05 19:39:04.043019,basic,0.6000000000000001
CUST_00000017,44,37798,master,537,1698,False,True,2020-12-08 19:39:04.043019,basic,0.4
CUST_00000018,26,60072,bachelor,763,6,False,False,2025-07-27 19:39:04.043020,standard,0.0
CUST_00000019,18,34504,high_school,639,363,False,False,2024-08-04 19:39:04.043021,basic,0.4
CUST_00000020,61,62461,bachelor,697,4753,False,False,2012-07-28 19:39:04.043022,standard,0.2
CUST_00000021,36,57482,bachelor,536,1671,False,False,2021-01-04 19:39:04.043022,basic,0.4
CUST_00000022,41,72020,bachelor,645,103,False,False,2025-04-21 19:39:04.043023,basic,0.2
CUST_00000023,18,45711,bachelor,504,432,False,False,2024-05-27 19:39:04.043024,basic,0.6000000000000001
CUST_00000024,31,55307,bachelor,671,634,False,True,2023-11-07 19:39:04.043024,standard,0.2
CUST_00000025,41,57375,master,648,2986,False,False,2017-05-30 19:39:04.043025,basic,0.2
CUST_00000026,22,37329,bachelor,668,966,False,True,2022-12-10 19:39:04.043026,basic,0.4
CUST_00000027,45,97626,bachelor,523,88,False,False,2025-05-06 19:39:04.043026,basic,0.4
CUST_00000028,30,20000,high_school,565,779,False,False,2023-06-15 19:39:04.043027,basic,0.7
CUST_00000029,35,108513,master,470,374,False,False,2024-07-24 19:39:04.043028,basic,0.4
CUST_00000030,30,51327,master,582,452,False,False,2024-05-07 19:39:04.043029,basic,0.4
CUST_00000031,67,20618,high_school,402,132,False,False,2025-03-23 19:39:04.043029,basic,0.7
CUST_00000032,39,56986,bachelor,709,672,False,False,2023-09-30 19:39:04.043030,standard,0.0
CUST_00000033,24,20000,high_school,401,1212,False,False,2022-04-08 19:39:04.043031,basic,0.9
CUST_00000034,52,33248,bachelor,644,1560,False,True,2021-04-25 19:39:04.043031,basic,0.2
CUST_00000035,21,32702,bachelor,651,1301,False,True,2022-01-09 19:39:04.043032,basic,0.4
CUST_00000036,43,26856,high_school,462,1182,False,False,2022-05-08 19:39:04.043033,basic,0.7
CUST_00000037,18,46825,master,594,2227,False,False,2019-06-28 19:39:04.043033,basic,0.6000000000000001
CUST_00000038,20,66803,high_school,346,442,False,False,2024-05-17 19:39:04.043034,basic,0.6000000000000001
CUST_00000039,42,122796,bachelor,754,264,False,False,2024-11-11 19:39:04.043035,premium,0.0
CUST_00000040,51,20000,bachelor,554,102,False,False,2025-04-22 19:39:04.043036,basic,0.7
CUST_00000041,42,65639,bachelor,673,198,False,False,2025-01-16 19:39:04.043036,standard,0.2
CUST_00000042,38,46086,high_school,570,177,False,False,2025-02-06 19:39:04.043037,basic,0.4
CUST_00000043,35,39357,high_school,582,2667,False,True,2018-04-14 19:39:04.043038,basic,0.4
CUST_00000044,18,35980,bachelor,481,217,False,True,2024-12-28 19:39:04.043038,basic,0.6000000000000001
CUST_00000045,29,44255,bachelor,605,108,False,True,2025-04-16 19:39:04.043039,basic,0.2
CUST_00000046,33,20636,high_school,381,559,False,False,2024-01-21 19:39:04.043040,basic,0.7
CUST_00000047,55,24314,high_school,641,203,False,False,2025-01-11 19:39:04.043041,basic,0.5
CUST_00000048,45,20000,high_school,630,153,False,False,2025-03-02 19:39:04.043041,basic,0.5
CUST_00000049,18,47211,bachelor,813,492,False,False,2024-03-28 19:39:04.043042,basic,0.2
CUST_00000050,44,23585,bachelor,459,2757,False,False,2018-01-14 19:39:04.043043,basic,0.7
CUST_00000051,34,27143,high_school,553,33,False,False,2025-06-30 19:39:04.043043,basic,0.7
CUST_00000052,29,26782,bachelor,773,254,False,False,2024-11-21 19:39:04.043044,basic,0.3
CUST_00000053,49,33268,high_school,528,1903,False,False,2020-05-17 19:39:04.043045,basic,0.4
CUST_00000054,55,49838,master,567,308,False,True,2024-09-28 19:39:04.043046,basic,0.4
CUST_00000055,53,80946,master,678,637,False,False,2023-11-04 19:39:04.043046,standard,0.2
CUST_00000056,27,85868,bachelor,457,113,False,False,2025-04-11 19:39:04.043047,basic,0.4
CUST_00000057,35,154968,master,731,1736,False,False,2020-10-31 19:39:04.043048,standard,0.0
CUST_00000058,44,20000,master,754,1460,False,False,2021-08-03 19:39:04.043048,basic,0.3
CUST_00000059,54,46126,master,725,150,False,False,2025-03-05 19:39:04.043049,basic,0.0
CUST_00000060,32,42969,bachelor,479,3236,False,True,2016-09-22 19:39:04.043050,basic,0.4
CUST_00000061,37,62940,bachelor,648,977,False,False,2022-11-29 19:39:04.043050,basic,0.2
CUST_00000062,23,20000,high_school,514,1752,False,False,2020-10-15 19:39:04.043051,basic,0.9
CUST_00000063,22,30599,bachelor,564,1580,False,False,2021-04-05 19:39:04.043052,basic,0.6000000000000001
CUST_00000064,52,53367,bachelor,548,801,False,True,2023-05-24 19:39:04.043052,basic,0.4
CUST_00000065,60,31300,high_school,443,1507,False,False,2021-06-17 19:39:04.043054,basic,0.4
CUST_00000066,38,36234,high_school,473,297,False,False,2024-10-09 19:39:04.043057,basic,0.4
CUST_00000067,55,62418,bachelor,426,23,False,False,2025-07-10 19:39:04.043058,basic,0.4
CUST_00000068,45,35534,high_school,453,458,False,False,2024-05-01 19:39:04.043059,basic,0.4
CUST_00000069,30,55083,bachelor,434,181,False,False,2025-02-02 19:39:04.043059,basic,0.4
CUST_00000070,45,71978,master,785,4344,False,False,2013-09-10 19:39:04.043060,standard,0.0
CUST_00000071,63,69714,bachelor,615,2816,False,False,2017-11-16 19:39:04.043061,basic,0.2
CUST_00000072,39,20000,bachelor,510,170,False,False,2025-02-13 19:39:04.043061,basic,0.7
CUST_00000073,63,108222,bachelor,714,461,False,False,2024-04-28 19:39:04.043062,standard,0.0
CUST_00000074,18,20000,bachelor,510,779,False,False,2023-06-15 19:39:04.043063,basic,0.9
CUST_00000075,52,20000,high_school,648,557,False,False,2024-01-23 19:39:04.043063,basic,0.5
CUST_00000076,41,62496,master,549,1318,False,False,2021-12-23 19:39:04.043064,basic,0.4
CUST_00000077,35,41993,high_school,644,766,False,False,2023-06-28 19:39:04.043065,basic,0.2
CUST_00000078,41,20000,high_school,664,912,False,False,2023-02-02 19:39:04.043066,basic,0.5
CUST_00000079,18,49301,bachelor,561,1239,False,False,2022-03-12 19:39:04.043067,basic,0.6000000000000001
CUST_00000080,36,44584,high_school,404,26,False,False,2025-07-07 19:39:04.043067,basic,0.4
CUST_00000081,45,82210,bachelor,571,13,False,False,2025-07-20 19:39:04.043068,basic,0.4
CUST_00000082,62,21168,high_school,393,214,False,True,2024-12-31 19:39:04.043069,basic,0.7
CUST_00000083,32,25810,high_school,669,1387,False,False,2021-10-15 19:39:04.043069,basic,0.5
CUST_00000084,27,22045,high_school,768,301,False,False,2024-10-05 19:39:04.043070,basic,0.3
CUST_00000085,32,24652,high_school,667,2768,False,False,2018-01-03 19:39:04.043071,basic,0.5
CUST_00000086,53,29847,bachelor,499,89,False,False,2025-05-05 19:39:04.043071,basic,0.7
CUST_00000087,44,44874,master,683,949,False,False,2022-12-27 19:39:04.043072,basic,0.2
CUST_00000088,32,62128,bachelor,549,28,False,False,2025-07-05 19:39:04.043073,basic,0.4
CUST_00000089,47,74761,master,538,3917,False,True,2014-11-11 19:39:04.043073,basic,0.4
CUST_00000090,41,38359,high_school,629,263,False,True,2024-11-12 19:39:04.043074,basic,0.2
CUST_00000091,54,55647,bachelor,592,970,False,False,2022-12-06 19:39:04.043075,basic,0.4
CUST_00000092,29,42664,high_school,403,3349,False,False,2016-06-01 19:39:04.043075,basic,0.4
CUST_00000093,35,77566,bachelor,708,33,False,False,2025-06-30 19:39:04.043076,standard,0.0
CUST_00000094,34,20929,bachelor,798,787,False,False,2023-06-07 19:39:04.043077,basic,0.3
CUST_00000095,18,32618,bachelor,548,819,False,False,2023-05-06 19:39:04.043078,basic,0.6000000000000001
CUST_00000096,44,44537,bachelor,805,474,False,False,2024-04-15 19:39:04.043078,basic,0.0
CUST_00000097,43,49436,bachelor,569,1163,False,False,2022-05-27 19:39:04.043079,basic,0.4
CUST_00000098,40,35765,bachelor,611,856,False,False,2023-03-30 19:39:04.043080,basic,0.2
CUST_00000099,36,110443,master,648,313,False,False,2024-09-23 19:39:04.043081,basic,0.2
CUST_00000100,18,80734,high_school,431,1337,True,False,2021-12-04 19:39:04.043081,basic,1.0
CUST_00000101,33,54877,bachelor,604,687,False,False,2023-09-15 19:39:04.043082,basic,0.2
CUST_00000102,34,52153,bachelor,755,695,False,False,2023-09-07 19:39:04.043082,standard,0.0
